student_id,name,background,skills,interests
1,Quinn1,Physics,"Statistics, TensorFlow",Cybersecurity
2,Eva2,Computer Applications,"Cloud, R, Java",Robotics
3,Frank3,IT,"Java, Python, Cybersecurity, Statistics",Analytics
4,Oscar4,Computer Science,"VHDL, Python, ML, R, HTML","VLSI, Software Development"
5,Frank5,Computer Applications,"C++, TensorFlow, Power BI, JavaScript, CSS","Robotics, Analytics"
6,Eva6,Digital Electronics,"Cloud, TensorFlow, ML, NLP, IoT","IoT, Embedded Systems"
7,Charlie7,Mechanical Eng.,"Verilog, Cybersecurity, Statistics",Automation
8,Leo8,Business Analytics,"VHDL, R","Cybersecurity, AI, Software Development"
9,Henry9,Computer Science,"CSS, Statistics, JavaScript, Excel","Deep Learning, Robotics, Embedded Systems"
10,Nina10,Electrical Eng.,"DL, C++, VHDL, MATLAB","Cybersecurity, Analytics, Embedded Systems"
11,Grace11,Digital Electronics,"Python, MATLAB, HTML, Power BI, NLP",Automation
12,Oscar12,Computer Applications,"VHDL, R",AI
13,Jack13,Physics,"CSS, JavaScript",Cloud Computing
14,Alice14,IT,"DL, IoT, NLP, SQL, Cybersecurity","AI, Analytics"
15,Karen15,Physics,"VHDL, SQL, Python, C++",VLSI
16,Leo16,Business Analytics,"TensorFlow, R, C++, Statistics",Cloud Computing
17,Grace17,Mathematics,"Verilog, Power BI","Analytics, VLSI, Data Science"
18,Oscar18,Digital Electronics,"Excel, DL, HTML, IoT, Power BI","Robotics, Deep Learning, AI"
19,Tina19,IT,"Excel, VHDL, Power BI, Verilog, JavaScript","Machine Learning, Analytics, Automation"
20,Henry20,Business Analytics,"C++, CSS, SQL","Automation, Software Development, Cybersecurity"
21,Oscar21,Mathematics,"Arduino, Cloud, Statistics, Cybersecurity, CSS","Deep Learning, Robotics"
22,Charlie22,Mechanical Eng.,"TensorFlow, C++, Excel","Embedded Systems, Cloud Computing, VLSI"
23,Ivy23,Computer Applications,"TensorFlow, IoT","Cybersecurity, Analytics"
24,Sam24,Mathematics,"Cloud, Verilog, JavaScript, Arduino, MATLAB","Embedded Systems, Robotics, Automation"
25,Frank25,Digital Electronics,"NLP, Arduino",IoT
26,Karen26,Mathematics,"Python, HTML, DL","Robotics, Machine Learning, Analytics"
27,Diana27,Computer Applications,"TensorFlow, Python, Power BI, MATLAB","Deep Learning, Data Science"
28,Oscar28,Mathematics,"Cloud, Verilog","Deep Learning, Data Science, Robotics"
29,Sam29,Mathematics,"MATLAB, JavaScript",Cloud Computing
30,Jack30,Digital Electronics,"C++, Cloud, TensorFlow, IoT","Cybersecurity, AI"
31,Henry31,Electronics,"Power BI, Excel, Python",Robotics
32,Charlie32,Mechanical Eng.,"HTML, C++, SQL, Verilog","Deep Learning, Software Development"
33,Oscar33,Digital Electronics,"CSS, Arduino, Java, Statistics, Power BI","Deep Learning, Robotics, Analytics"
34,Henry34,Physics,"Java, Power BI, Cloud, Arduino","Software Development, Robotics, Machine Learning"
35,Jack35,Physics,"C++, Excel, MATLAB","Embedded Systems, Deep Learning"
36,Ivy36,Computer Applications,"SQL, Verilog, MATLAB",IoT
37,Karen37,Digital Electronics,"Python, NLP, Java, Excel, VHDL","Machine Learning, Analytics, Automation"
38,Grace38,Mathematics,"C++, Power BI, Verilog","VLSI, Software Development, Analytics"
39,Bob39,IT,"TensorFlow, ML, Statistics, CSS, DL","Embedded Systems, Analytics"
40,Jack40,Electrical Eng.,"Java, Python","Software Development, Data Science, AI"
41,Leo41,Mechanical Eng.,"DL, Statistics, Arduino, VHDL","IoT, Data Science, Analytics"
42,Leo42,Mechanical Eng.,"VHDL, SQL, Statistics","Deep Learning, Data Science, Analytics"
43,Karen43,Mathematics,"Excel, Python, MATLAB, TensorFlow","Embedded Systems, Deep Learning"
44,Karen44,Electronics,"Verilog, NLP, MATLAB, Excel, Java",Automation
